"ID_REF"	"GSM7111530"	"GSM7111531"	"GSM7111532"	"GSM7111533"	"GSM7111534"	"GSM7111535"
"TC1000001694.mm.2"	1149.6066	1079.3584	989.9016	1065.7134	1323.5354	900.6199
"TC1000001696.mm.2"	49.023003	51.63168	55.071724	79.234634	54.134335	68.90728
"TC1000001698.mm.2"	2083.8433	2329.735	2154.2507	2434.252	1842.5225	2104.3804
"TC1000001701.mm.2"	2919.5203	3531.448	3091.065	2268.1836	2871.9973	2965.9998
"TC1000001704.mm.2"	4111.968	3990.0566	4283.4995	4330.894	4708.061	5066.1665
"TC1000001708.mm.2"	546.4965	722.288	535.194	580.09454	609.2553	628.1905
"TC1000001716.mm.2"	1066.4935	904.003	1003.6747	625.8077	796.97705	545.17126
"TC1000001732.mm.2"	48.3529	43.12884	45.2045	39.05139	56.691998	45.19419
"TC1000001735.mm.2"	746.9083	594.9593	631.8675	609.10913	947.6912	570.7358
"TC1000001737.mm.2"	477.9209	361.01703	464.9047	608.5284	543.8916	524.71765
"TC1000001743.mm.2"	37.013657	38.00671	40.769886	34.679615	39.69324	35.63237
"TC1000001744.mm.2"	751.47	652.6809	589.5566	653.6018	751.9217	928.30597
"TC1000001745.mm.2"	160.77124	193.39313	141.68967	129.09264	144.56026	159.67863
"TC1000001755.mm.2"	8231.272	9818.311	9002.937	8374.132	8434.722	8108.627
"TC1000001761.mm.2"	384.61768	430.90912	387.7925	401.77386	374.55832	376.99237
"TC1000001766.mm.2"	40.695343	44.577515	40.64319	38.35923	47.41961	45.954197
"TC1000001767.mm.2"	1097.9723	1168.2104	1240.9221	1458.2546	1747.9083	1633.0002
"TC1000001768.mm.2"	50.072697	66.929596	56.23225	170.89546	149.10771	144.16064
"TC1000001772.mm.2"	2905.5388	2619.3997	2147.348	2461.0146	2498.506	2848.2717
"TC1000001773.mm.2"	273.07257	215.18619	241.2722	206.00995	262.81796	222.52438
"TC1000001786.mm.2"	217.66101	322.91776	304.37222	269.731	272.46997	246.15793
"TC1000001789.mm.2"	698.03796	739.187	672.1721	787.74347	774.3699	851.7146
"TC1000001792.mm.2"	68.03586	69.64203	48.004185	51.830357	61.168266	62.4876
"TC1000001799.mm.2"	581.67737	598.06415	606.4298	615.0219	577.2028	566.827
"TC1000001802.mm.2"	11862.164	10986.482	13240.132	15363.374	9458.33	16182.183
"TC1000001804.mm.2"	54.626846	53.4189	55.06444	40.060173	40.630573	44.022736
"TC1000001805.mm.2"	203.82954	196.92746	239.05463	144.18585	123.83713	185.23233
"TC1000001807.mm.2"	461.08636	446.54092	465.08945	417.54382	459.12006	420.40646
